Country,Year,Value,GHG
Poland,2009,271751076.34,CO2
Portugal,2009,49837772.74,CO2
Romania,2009,75381296.71,CO2
Slovenia,2009,12046078.9,CO2
Slovakia,2009,30461637.63,CO2
Finland,2009,52820262.6,CO2
Sweden,2009,40434625.94,CO2
Iceland,2009,3781402.35,CO2
Norway,2009,45940850.12,CO2
Switzerland,2009,27934073.8,CO2
Serbia,2009,:,CO2
Türkiye,2009,247567285,CO2
European Union - 27 countries (from 2020),2010,2847557499.81,CO2
Belgium,2010,82665899.99,CO2
Bulgaria,2010,46909842.02,CO2
Czechia,2010,97202479.87,CO2
Denmark,2010,78789963.61,CO2
Germany,2010,692149282.28,CO2
Estonia,2010,19285244.06,CO2
Ireland,2010,34496186.91,CO2
Greece,2010,90038488.92,CO2
Spain,2010,219249918.94,CO2
France,2010,294070508.99,CO2
Croatia,2010,15790286.79,CO2
Italy,2010,331877124.8,CO2
Cyprus,2010,6894142.06,CO2
Latvia,2010,8495425.45,CO2
Lithuania,2010,11817980.69,CO2
Luxembourg,2010,7501861.0,CO2
Hungary,2010,41608409.26,CO2
Malta,2010,2594158.49,CO2
Netherlands,2010,159461143.95,CO2
Austria,2010,52507471.33,CO2
Poland,2010,285644911.36,CO2
Portugal,2010,45318402.29,CO2
Romania,2010,72484445.57,CO2
Slovenia,2010,12264000.44,CO2
Slovakia,2010,30650962.28,CO2
Finland,2010,61156450.52,CO2
Sweden,2010,46632507.94,CO2
Iceland,2010,3746186.61,CO2
Norway,2010,49586592.1,CO2
Switzerland,2010,28774911.37,CO2
Serbia,2010,44341254.75,CO2
Türkiye,2010,248992840.0,CO2
European Union - 27 countries (from 2020),2011,2798158238.94,CO2
Belgium,2011,76756689.38,CO2
Bulgaria,2011,52035383.25,CO2
Czechia,2011,94414077.53,CO2
Denmark,2011,78436253.46,CO2
Germany,2011,680793245.57,CO2
Estonia,2011,18927876.4,CO2
Ireland,2011,32767409.83,CO2
Greece,2011,85975442.31,CO2
Spain,2011,226684994.1,CO2
France,2011,278627032.47,CO2
Croatia,2011,15594119.44,CO2
Italy,2011,321830908.76,CO2
Cyprus,2011,6319082.95,CO2
Latvia,2011,7785828.36,CO2
Lithuania,2011,12338166.36,CO2
Luxembourg,2011,6853838.0,CO2
Hungary,2011,41548167.07,CO2
Malta,2011,2605478.61,CO2
Netherlands,2011,152142356.91,CO2
Austria,2011,50945348.41,CO2
Poland,2011,289922437.59,CO2
Portugal,2011,45220645.83,CO2
Romania,2011,79902001.14,CO2
Slovenia,2011,11953985.44,CO2
Slovakia,2011,31373493.78,CO2
Finland,2011,53957427.46,CO2
Sweden,2011,42446548.57,CO2
Iceland,2011,3653036.1,CO2
Norway,2011,54562966.2,CO2
Switzerland,2011,27841739.5,CO2
Serbia,2011,49320137.25,CO2
Türkiye,2011,270416260.0,CO2
European Union - 27 countries (from 2020),2012,2730911374.87,CO2
Belgium,2012,73304707.45,CO2
Bulgaria,2012,47190042.73,CO2
Czechia,2012,89952602.22,CO2
Denmark,2012,71594993.06,CO2
Germany,2012,692222668.06,CO2
Estonia,2012,17612896.61,CO2
Ireland,2012,33808072.99,CO2
Greece,2012,84908533.49,CO2
Spain,2012,224715043.41,CO2
France,2012,277154367.79,CO2
Croatia,2012,14114598.92,CO2
Italy,2012,306409040.94,CO2
Cyprus,2012,5714363.1,CO2
Latvia,2012,7476366.21,CO2
