Country,Year,Value,GHG,Iso3
Denmark,2020,60295669.25,CO2,DNK
Germany,2020,494367063.77,CO2,DEU
Estonia,2020,8475035.61,CO2,EST
Ireland,2020,28605060.23,CO2,IRL
Greece,2020,57986171.28,CO2,GRC
Spain,2020,160658120.97,CO2,ESP
France,2020,218902335.05,CO2,FRA
Croatia,2020,12174729.04,CO2,HRV
Italy,2020,221208643.2,CO2,ITA
Cyprus,2020,5513894.21,CO2,CYP
Latvia,2020,6269420.28,CO2,LVA
Lithuania,2020,16153504.97,CO2,LTU
Luxembourg,2020,7337272.0,CO2,LUX
Hungary,2020,35444347.82,CO2,HUN
Malta,2020,1986561.15,CO2,MLT
Netherlands,2020,124964191.08,CO2,NLD
Austria,2020,42609391.57,CO2,AUT
Poland,2020,270746814.83,CO2,POL
Portugal,2020,35135076.89,CO2,PRT
Romania,2020,57918955.99,CO2,ROU
Slovenia,2020,10221652.71,CO2,SVN
Slovakia,2020,24834536.16,CO2,SVK
Finland,2020,34002039.54,CO2,FIN
Sweden,2020,31319526.95,CO2,SWE
Iceland,2020,3845543.54,CO2,ISL
Norway,2020,52590067.93,CO2,NOR
Switzerland,2020,20976303.73,CO2,CHE
Serbia,2020,44930847.67,CO2,SRB
Türkiye,2020,315280430.0,CO2,TUR
Belgium,2021,69018533.11,CO2,BEL
Bulgaria,2021,41128466.51,CO2,BGR
Czechia,2021,76676215.92,CO2,CZE
Denmark,2021,68746022.73,CO2,DNK
Germany,2021,539064362.44,CO2,DEU
Estonia,2021,9631930.03,CO2,EST
Ireland,2021,30980283.68,CO2,IRL
Greece,2021,58404618.84,CO2,GRC
Spain,2021,174108191.72,CO2,ESP
France,2021,239180438.62,CO2,FRA
Croatia,2021,12387731.33,CO2,HRV
Italy,2021,242104205.96,CO2,ITA
Cyprus,2021,5459210.13,CO2,CYP
Latvia,2021,6655388.02,CO2,LVA
Lithuania,2021,16396189.11,CO2,LTU
Luxembourg,2021,7367722.0,CO2,LUX
Hungary,2021,36048975.02,CO2,HUN
